转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:23] 生成: jsyw_100_test_final_0006.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0006.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0007.xml （有标注，6 个框）
[09:12:23] 生成: jsyw_100_test_final_0007.xml （有标注，6 个框）
[09:12:23] 生成: jsyw_100_test_final_0010.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0010.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0012.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0012.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0016.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0016.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0019.xml （有标注，7 个框）
[09:12:23] 生成: jsyw_100_test_final_0019.xml （有标注，7 个框）
[09:12:23] 生成: jsyw_100_test_final_0020.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0020.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0021.xml （有标注，6 个框）
[09:12:23] 生成: jsyw_100_test_final_0021.xml （有标注，6 个框）
[09:12:23] 生成: jsyw_100_test_final_0022.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0022.xml （有标注，4 个框）
[09:12:23] 生成: jsyw_100_test_final_0023.xml （有标注，4 个框）
